"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"6150","서울특별시 서대문구 북가좌동","449","0449","0000","북가좌삼호","75.7500","202605","09","85,000","-","16","개인","개인","1996","거북골로 154","-","중개거래","서울 서대문구","-"
"6151","경기도 성남시 중원구 금광동","1003","1003","0000","e편한세상금빛그랑메종2단지","51.9600","202605","09","90,000","-","21","개인","개인","2023","금광로 26","-","중개거래","경기 성남시 중원구, 서울 동대문구","-"
"6152","서울특별시 노원구 중계동","161-1","0161","0001","중앙하이츠","84.2100","202605","09","70,400","-","6","개인","개인","1998"," ","-","중개거래","서울 노원구","-"
"6153","서울특별시 노원구 하계동","280","0280","0000","미성","84.9400","202605","09","86,800","-","13","개인","개인","1989","공릉로59길 28","-","중개거래","서울 노원구","-"
"6154","경기도 부천시 원미구 중동","1185-2","1185","0002","그린타운(한양)","134.9600","202605","09","62,000","-","2","개인","개인","1994","부흥로303번길 31","-","중개거래","경기 부천시 원미구, 서울 양천구","-"
"6155","서울특별시 금천구 시흥동","1026","1026","0000","남서울힐스테이트","115.8010","202605","09","103,500","-","12","개인","개인","2014","시흥대로 165","-","중개거래","서울 금천구","-"
"6156","경기도 부천시 소사구 소사본동","133-12","0133","0012","부천소사역푸르지오","84.9779","202605","09","77,800","-","20","개인","개인","2012","소삼로 47","-","중개거래","경기 부천시 소사구, 경기 시흥시","-"
"6157","경기도 광명시 철산동","625","0625","0000","도덕파크타운2단지","49.9800","202605","09","67,500","-","1","개인","개인","2001","가림일로 101","-","중개거래","경기 광명시","-"
"6158","경기도 화성시 동탄구 청계동","556","0556","0000","동탄역 더 힐","85.2030","202605","09","68,000","-","5","개인","개인","2017","동탄순환대로22길 46","-","중개거래","경기 화성시 동탄구","-"
"6159","경기도 하남시 망월동","1062","1062","0000","미사강변 하우스디 더 레이크","84.9800","202605","09","122,500","-","8","개인","개인","2016","미사강변대로 135","-","중개거래","경기 하남시","-"
